"id","sigla_instituicao","uf_instituicao","pais_instituicao","qtd_formacoes"
8281,"UP","","França","89"
17631,"FDC","MG","Brasil","89"
3002,"FPCEUP","","Portugal","89"
9488,"UMCC","","Cuba","89"
13384,"FOB","SP","Brasil","88"
19442,"MNRJ","RJ","Brasil","88"
7048,"CIMATEC","BA","Brasil","88"
7053,"IFPE","PE","Brasil","88"
17994,"UB","","França","88"
2331,"HEIDELBERG","","Alemanha","88"
18846,"FAMAM","BA","Brasil","88"
6252,"LUH","","Alemanha","88"
4342,"FAAP","SP","Brasil","87"
1977,"UCPPORTO","","Portugal","87"
7126,"ASU","","Estados Unidos","87"
19330,"UMASSAMHERST","","Estados Unidos","87"
4086,"UPMF","","França","87"
8193,"UTN","","Argentina","86"
21138,"UNINA","","Itália","86"
18486,"IMES","BA","Brasil","85"
792,"UK","","Argentina","85"
13231,"IEN","RJ","Brasil","85"
5570,"AEBV","PE","Brasil","85"
18948,"RUN","","Holanda","85"
8847,"IMAUFRJ","RJ","Brasil","84"
18720,"IPHANDF","DF","Brasil","83"
11648,"CAU","","Alemanha","83"
2344,"IPE","SP","Brasil","83"
13758,"USACH","","Chile","83"
17151,"ULG","","Bélgica","83"
6519,"FACECA","MG","Brasil","83"
19952,"COPPEAD","RJ","Brasil","83"
10330,"FSU","","Estados Unidos","82"
1354,"UNINGA","PR","Brasil","82"
20369,"UM","","Holanda","82"
4887,"UMIAMI","","Estados Unidos","82"
6231,"IMS","RJ","Brasil","82"
21246,"IBCCF","RJ","Brasil","81"
4809,"UKENT","","Inglaterra","81"
15702,"FUTA","","Nigéria","81"
20459,"RUB","","Alemanha","81"
871,"IRR","MG","Brasil","81"
12126,"FUNIBER","","Espanha","81"
1129,"WSU","","Estados Unidos","81"
21164,"SENAICIMATEC","BA","Brasil","80"
11069,"UFCAT","GO","Brasil","80"
14729,"ISPJAE","","Cuba","80"
13978,"RUTGERS","","Estados Unidos","80"
6933,"HCFMB","SP","Brasil","80"
20646,"KIT","","Alemanha","80"
21280,"UNIMONTE","SP","Brasil","79"
9245,"UCPLISBOA","","Portugal","79"
16136,"ABDN","","Escócia","79"
7308,"APMBB","SP","Brasil","79"
11016,"UD","","Espanha","79"
1346,"FMUP","","Portugal","79"
3641,"IAM","PE","Brasil","78"
11372,"IAG","SP","Brasil","78"
954,"UI","","Estados Unidos","78"
9643,"UNIFATEA","SP","Brasil","78"
13597,"UDEC","","Chile","78"
17149,"UNIPG","","Itália","77"
15553,"FMUSP","","Brasil","77"
16752,"UCSB","","Estados Unidos","77"
2441,"CEPPEV","BA","Brasil","77"
19316,"EPMUNIFESP","SP","Brasil","77"
9046,"CNAM","","França","77"
12743,"UMD","","Estados Unidos","76"
20979,"UWO","","Canadá","76"
6674,"FEARP","SP","Brasil","76"
12525,"WESTMINSTER","","Inglaterra","76"
4876,"UR","","Estados Unidos","76"
20083,"SURREY","","Inglaterra","76"
8294,"UNILEIPZIG","","Alemanha","76"
4394,"UK","","Dinamarca","76"
14873,"DURHAM","","Inglaterra","76"
5272,"UEMC","","Espanha","76"
913,"UNALM","","Peru","75"
2539,"UK","","Estados Unidos","75"
3066,"IFMG","MG","Brasil","75"
11763,"FOA","SP","Brasil","75"
4534,"US","","Alemanha","75"
84,"AU","","Dinamarca","75"
21103,"UNIVIE","","Austria","74"
1184,"UA","","Estados Unidos","74"
19712,"MNHN","","França","74"
21173,"IPSEMG","MG","Brasil","74"
6204,"ULISBOA","","Portugal","74"
16467,"IETEC","MG","Brasil","74"
16123,"INCOR","SP","Brasil","74"
4019,"FCTUNESP","SP","Brasil","73"
17170,"UCD","","Irlanda","73"
8304,"UPEL","","Venezuela","73"
3551,"UM","","Portugal","73"
1925,"UJI","","Espanha","73"
321,"UND","","Estados Unidos","73"
1714,"FESURV","GO","Brasil","73"
17103,"UTSYSTEM","","Estados Unidos","73"
1089,"FOP","PE","Brasil","73"
15481,"UCSD","","Estados Unidos","73"
11944,"IUPERJTEC","RJ","Brasil","72"
17327,"ENPC","","França","72"
20745,"UCM","","Moçambique","72"
11057,"UNIFRA","RS","Brasil","72"
9377,"PUC","RJ","Brasil","72"
4693,"KENNEDY","","Argentina","72"
17662,"UNMDP","","Argentina","72"
20122,"UPVIII","","França","72"
15394,"KTH","","Suécia","72"
17510,"DU","","Estados Unidos","71"
10865,"EEL","SP","Brasil","71"
4137,"PARIS5","","França","71"
10794,"UNIMELB","","Austrália","71"
2474,"FCUP","","Portugal","71"
4100,"IPPUR","RJ","Brasil","71"
13799,"UL","","França","71"
20222,"VUB","","Bélgica","71"
13914,"CATIE","","Costa Rica","70"
3480,"UDF","DF","Brasil","70"
14025,"PU","","Estados Unidos","70"
7248,"STRATH","","Escócia","70"
9855,"FICSAE","SP","Brasil","70"
1457,"IBILCEUNESP","SP","Brasil","70"
9962,"IPENCNENSP","SP","Brasil","69"
14296,"DAUPHINE","","França","69"
9696,"IAUNESP","SP","Brasil","69"
3494,"KU","","Estados Unidos","69"
15159,"SAOCAMILO","SP","Brasil","69"
13783,"NAEA","PA","Brasil","69"
20237,"LSHTM","","Inglaterra","69"
728,"IFCATARINENSE","SC","Brasil","69"
16041,"UC","","Espanha","69"
18814,"FCMMG","MG","Brasil","69"
11064,"AWU","","Estados Unidos","68"
7775,"ENSLYON","","França","68"
15584,"IAUUSP","SP","Brasil","68"
9991,"EVUFMG","MG","Brasil","68"
17655,"POLI","SP","Brasil","68"
1978,"ISPA","","Portugal","68"
1407,"IAUUSPSC","SP","Brasil","68"
19941,"UNESPBOTUCATU","SP","Brasil","68"
15924,"RWTHA","","Alemanha","68"
10148,"EPSJV","RJ","Brasil","68"
14148,"UCHILE","","Chile","68"
1660,"TCD","","Irlanda","68"
5870,"SBF","SP","Brasil","68"
11271,"IFSUDESTEMG","MG","Brasil","68"
1607,"UPE","","Espanha","67"
12678,"ISPEJV","","Cuba","67"
3755,"FLACSOARGENTINA","","Argentina","67"
4384,"UCALGARI","","Canadá","67"
2465,"UNSW","","Austrália","67"
10599,"UM","","Estados Unidos","67"
6238,"SCMSP","SP","Brasil","67"
13121,"UNILOGOS","","Estados Unidos","67"
2231,"UB","","Alemanha","67"
3515,"AIXMARSEILLEIII","","França","67"
4629,"GEORGETOWN","","Estados Unidos","66"
16606,"USB","","Venezuela","66"
